publishedAt,title,description,url,source.name,author
2025-10-16 11:23:41+00:00,Last surviving member of first team to scale Everest dies aged 92,Kanchha Sherpa was 19 when he accompanied the team led by Edmund Hillary and Tenzing Norgay to the summit in 1953.,https://www.bbc.com/news/articles/ceq0xlnv2x2o,BBC News,
2025-10-15 10:12:21+00:00,India’s Himalayan villages slowly reviving decades after conflict,"People return to Himalayan villages each summer, despite their decline after the 1962 India-China border closure.",https://www.aljazeera.com/gallery/2025/10/15/life-slowly-returning-to-abandoned-himalayan-villages-in-india,Al Jazeera English,Al Jazeera
2025-10-15 03:44:20+00:00,Photos show life slowly returning to abandoned Himalayan villages in India,"Dozens of dilapidated stone buildings are what is left of the once-thriving border village of Martoli, in the northern Indian state of Uttarakhand.  Nestled ...",https://www.yahoo.com/news/articles/photos-show-life-slowly-returning-034420615.html,Yahoo Entertainment,SATISH SHARMA
2025-10-29 12:30:59+00:00,"Brink Traveler Adds New Locations, Hand Tracking Support & More","VR travel app Brink Traveler added new locations, hand tracking support, and more in a major free update.",https://www.uploadvr.com/brink-traveller-italian-dolomites-iceland-hand-tracking-support/,UploadVR,Sarah Thwaites
2025-10-21 01:06:55+00:00,Argentina Could Be a Superpower,Its geography could have made it the United States of Latin America,https://unchartedterritories.tomaspueyo.com/p/argentina-could-be-a-superpower,Tomaspueyo.com,Tomas Pueyo
2025-10-29 06:07:41+00:00,Tanzania elections: Who’s standing and what’s at stake?,Opposition members accuse President Samia Suluhu Hassan of cracking down on dissent to stay in power.,https://www.aljazeera.com/news/2025/10/29/tanzania-elections-whos-standing-and-whats-at-stake,Al Jazeera English,Shola Lawal
2025-10-21 01:00:33+00:00,Eating Japan’s highest-priced Cup Noodle at Japan’s highest place【Photos】,"So very, very takai. Cup Noodle instant ramen has a lot of things going for it. It keeps for a long time, it’s quick and easy to make, and it’s tasty. But you can’t sing the praises of Cup Noodle without also devoting some of the lyrics to how cheap it is, ri…",https://soranews24.com/2025/10/21/eating-japans-highest-priced-cup-noodle-at-japans-highest-place%e3%80%90photos%e3%80%91/,SoraNews24,Casey Baseel
2025-11-11 12:11:08+00:00,Has Noah's Ark Finally Been Found? Radar Sparks Biblical Buzz,Ground Penetrating Radar (GPR) tchnology may have discovered the location of the remnants of Noah's Ark.,https://www.ibtimes.com/has-noahs-ark-finally-been-found-radar-sparks-biblical-buzz-3790101,International Business Times,Shiena Iane B Enerio
2025-10-21 20:53:33+00:00,Guinness-Recognized Fireworks Photo Removed After One Complaint,"A photograph of fireworks soaring above the Edo River in Chiba’s Ichikawa City — forming what looked like a glowing Mount Fuji — was taken down from city hall just one day after being displayed, following a single citizen complaint. (News On Japan)",https://newsonjapan.com/article/147350.php,Newsonjapan.com,
2025-11-11 17:30:40+00:00,"Maker of Japan’s first crane machine is looking for a working model, offering 100,000-yen reward","Taito is also giving away free games to fans with personal memories of the Crown 602. Crane games are so ubiquitous in Japan that they feel like something that’s always been a part of the country, like the arcade landscape equivalent of Mt. Fuji. But much lik…",https://soranews24.com/2025/11/12/maker-of-japans-first-crane-machine-is-looking-for-a-working-model-offering-100000-yen-reward/,SoraNews24,Casey Baseel
