title,audience_certified,audience_score,audience_sentiment,critics_certified,critics_score,critics_sentiment
Predator: Badlands,true,95%,positive,true,86%,positive
Regretting You,false,85%,positive,false,27%,negative
Black Phone 2,false,83%,positive,true,72%,positive
Sarah's Oil,true,98%,positive,false,83%,positive
Nuremberg,true,95%,positive,false,70%,positive
Chainsaw Man - The Movie: Reze Arc,true,98%,positive,false,95%,positive
Bugonia,false,84%,positive,true,87%,positive
Die My Love,false,46%,negative,true,74%,positive
Springsteen: Deliver Me from Nowhere,false,82%,positive,false,60%,positive
TRON: Ares,false,85%,positive,false,54%,negative
Christy,false,96%,positive,false,66%,positive
Back to the Future,false,95%,positive,true,93%,positive
One Battle After Another,true,85%,positive,true,94%,positive
Good Fortune,false,81%,positive,true,77%,positive
Roofman,false,85%,positive,true,86%,positive
Sentimental Value,false,90%,positive,true,96%,positive
It Was Just an Accident,false,90%,positive,true,97%,positive
The Strangers: Chapter 2,false,55%,negative,false,14%,negative
Chicken Run,false,65%,positive,true,97%,positive
The Conjuring: Last Rites,false,78%,positive,false,59%,negative
Blue Moon,false,76%,positive,true,89%,positive
Gabby's Dollhouse: The Movie,true,94%,positive,false,85%,positive
Soul on Fire,true,98%,positive,false,80%,positive
Shelby Oaks,false,54%,negative,false,55%,negative
The Bad Guys 2,true,94%,positive,true,87%,positive
After the Hunt,false,38%,negative,false,37%,negative
Peter Hujar's Day,,,,true,91%,positive
Baahubali: The Epic,false,95%,positive,false,100%,positive
The Mastermind,false,38%,negative,true,91%,positive
Casper,false,51%,negative,false,59%,negative
Weapons,true,85%,positive,true,93%,positive
Anniversary,false,78%,positive,false,69%,positive
Eleanor the Great,false,94%,positive,false,66%,positive
Orwell: 2 + 2 = 5,,,,true,83%,positive
Good Boy,false,82%,positive,true,90%,positive
Urchin,,,,true,96%,positive
Dracula,,,,false,68%,positive
Violent Ends,,,,false,65%,positive
The Baltimorons,false,83%,positive,true,94%,positive
Souleymane's Story,,,,true,100%,positive
Queens of the Dead,,,,true,90%,positive
Put Your Soul on Your Hand and Walk,,,,false,97%,positive
Köln 75,,,,false,86%,positive
Belén,,,,false,92%,positive
Kiss of the Spider Woman,false,67%,positive,true,77%,positive
Marlee Matlin: Not Alone Anymore,,,,true,98%,positive
Riefenstahl,,,,true,97%,positive
Night of the Juggler,,,,false,94%,positive
Seclusion,,,,false,,
Dogtooth,false,76%,positive,true,93%,positive
Seeds,,,,false,100%,positive
A Little Prayer,false,93%,positive,true,93%,positive
Killer of Sheep,false,84%,positive,true,98%,positive
The Summer Book,,,,false,82%,positive
Pariah,false,50%,negative,false,43%,negative
Jacob's Ladder,false,84%,positive,false,72%,positive
Mr. K,,,,false,78%,positive
The Running Man,false,80%,positive,false,64%,positive
Now You See Me: Now You Don't,false,81%,positive,false,58%,negative
Keeper,false,40%,negative,false,52%,negative
Train Dreams,false,87%,positive,true,95%,positive
Jay Kelly,,,,true,80%,positive
The Carpenter's Son,,,,false,38%,negative
Rebuilding,,,,true,96%,positive
In Your Dreams,,,,true,85%,positive
Come See Me in the Good Light,,,,false,100%,positive
Being Eddie,,,,false,65%,positive
Christmas Karma,,,,false,,
Lost & Found in Cleveland,,,,false,,
Arco,,,,false,92%,positive
Sirāt,,,,true,95%,positive
King Ivory,,,,false,67%,positive
Trap House,,,,false,54%,negative
Stone Cold Fox,,,,false,,
Karen Kingsbury's The Christmas Ring,false,97%,positive,false,,
Citizen Sleuth,,,,false,100%,positive
